"","City","OtherName","Country","Latitude","Longitude","Certainty","year","pop"
"84","Carthage",NA,"Tunisia","36.8581","10.3308",3,-200,150000
"85","Changsha",NA,"China","28.196111","112.972222",1,-200,38000
"86","Cyrene","near present-day Shahhat","Libya","32.81901498","21.85583296",3,-200,30000
"87","Ephesus",NA,"Turkey","37.94049284","27.34104109",3,-200,40000
"88","Izapa",NA,"Mexico","14.92339814","-92.17999",1,-200,35000
"89","Luoyang","Honan","China","34.669722","112.442222",2,-200,60000
"90","Messina",NA,"Italy","38.19327","15.54969",1,-200,35000
"91","Olbia",NA,"Italy","40.9167","9.5",2,-200,30000
"92","Paithan","Prati??h?na","India","19.47506","75.38558",3,-200,60000
"93","Patna",NA,"India","25.610533","85.14145",1,-200,350000
"94","Pergamum",NA,"Turkey","39.13225127","27.1836318",1,-200,35000
"95","Rhodes",NA,"Greece","36.4333","28.2167",2,-200,42000
"96","Seleucia",NA,"Iraq","33.094444","44.522222",2,-200,200000
"97","Sparti","Spárti, Sparta","Greece","37.08182158","22.4234456",1,-200,30000
"98","Syracuse",NA,"Greece","37.06082237","15.29420264",2,-200,100000
"99","Taxilla","Taxila","Pakistan","33.75743141","72.82952293",1,-200,60000
"100","Tres Zapotes",NA,"Mexico","18.466667","-95.433333",2,-200,30000
"101","Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,-200,400000
"102","Ankara","Angora","Turkey","39.91987","32.85427",1,-100,34000
"103","Antioch",NA,"Syria/Turkey","36.20655","36.15722",2,-100,150000
"104","Anuradhapura","Anuradha-Pura","Sri Lanka","8.31223","80.41306",1,-100,130000
"105","Apamea",NA,"Turkey","35.41853326","36.40475674",3,-100,37000
"106","Athens",NA,"Greece","37.97945","23.71622",1,-100,75000
"107","Cadiz",NA,"Spain","36.52978","-6.29465",1,-100,62000
"108","Capua",NA,"Italy","41.09971","14.22013",1,-100,36000
"109","Carthage",NA,"Tunisia","36.8581","10.3308",3,-100,100000
"110","Chengdu",NA,"China","30.66667","104.06667",1,-100,70000
"111","Corinth",NA,"Greece","37.938636","22.932228",1,-100,50000
"112","Duhuang","Tunhuang","China","40.15","94.666667",2,-100,32000
"113","Ephesus",NA,"Turkey","37.94049284","27.34104109",3,-100,51000
"114","Gortyn","Gortys, Gortyna","Greece","35.06262738","24.94680958",1,-100,30000
"115","Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,-100,36000
"116","London",NA,"United Kingdom","51.511214","-0.119825",1,-100,30000
"117","Lyon",NA,"France","45.74846","4.84671",1,-100,50000
"118","Milan",NA,"Italy","45.465453","9.198786",1,-100,30000
"119","Nimes","Nîmes","France","43.83333","4.35",1,-100,44000
"120","Ostia",NA,"Italy","41.75551909","12.28966708",1,-100,30000
"121","Oxyrhyncus",NA,"Egypt","28.53558797","30.65990829",2,-100,34000
"122","Pergamum",NA,"Turkey","39.13225127","27.1836318",1,-100,40000
"123","Petra",NA,"Jordan","30.325172","35.442581",1,-100,30000
"124","Seleucia",NA,"Iraq","33.094444","44.522222",2,-100,250000
"125","Smyrna","Izmir","Turkey","38.41273","27.13838",1,-100,90000
"126","Teotihuacan",NA,"Mexico","19.69291001","-98.84606",1,-100,45000
"127","Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,-100,35000
"128","Zafar","Dhafar","Yemen","14.21175142","44.40341925",2,-100,60000
"129","Cadiz",NA,"Spain","36.52978","-6.29465",1,100,65000
"130","Luoyang","Honan","China","34.669722","112.442222",2,100,420000
"131","Madurai",NA,"India","9.91735","78.11962",1,100,50000
"132","Rome",NA,"Italy","41.89474","12.4839",1,100,450000
"133","Alexandria",NA,"Egypt","31.200092","29.918739",1,361,125000
"134","Antioch",NA,"Syria/Turkey","36.20655","36.15722",2,361,150000
"135","Arles",NA,"France","43.6767","4.6278",1,361,40000
"136","Carthage",NA,"Tunisia","36.8581","10.3308",3,361,66000
"137","Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,361,250000
"138","Damascus",NA,"Syria","33.5102","36.29128",1,361,40000
"139","Edessa","Urfa","Turkey","37.15","38.8",1,361,75000
"140","Handan","Ye","China","36.6","114.483333",3,361,120000
"141","Hippos","Hippo","Israel","32.77907253","35.65948301",3,361,40000
"142","Jerusalem",NA,"Israel","31.76904","35.21633",1,361,50000
"143","Leptis","Leptis Magna","Libya","32.63777029","14.29232884",3,361,50000
"144","Liaotung","penninsula","China","40.5","121.5",3,361,40000
"145","Milan",NA,"Italy","45.465453","9.198786",1,361,40000
"146","Nanjing","Nanking","China","32.05","118.766667",1,361,150000
"147","Nishapur",NA,"Iran","36.213333","58.795833",1,361,50000
"148","Patna",NA,"India","25.610533","85.14145",1,361,150000
"149","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,361,50000
"150","Rome",NA,"Italy","41.89474","12.4839",1,361,150000
"151","Teotihuacan",NA,"Mexico","19.69291001","-98.84606",1,361,90000
"152","Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,361,42000
"153","Trier","Treves","Germany","49.75565","6.63935",1,361,60000
"154","Ujjain",NA,"India","23.18239","75.77643",3,361,80000
"155","Vienne",NA,"France","45.51667","4.86667",3,361,45000
"156","Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,361,80000
"157","Alexandria",NA,"Egypt","31.200092","29.918739",1,500,100000
"158","Antioch",NA,"Syria/Turkey","36.20655","36.15722",2,500,150000
"159","Carthage",NA,"Tunisia","36.8581","10.3308",3,500,100000
"160","Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,500,400000
"161","Damascus",NA,"Syria","33.5102","36.29128",1,500,50000
"162","Diyarbakir","Diarbekr","Turkey","37.914411","40.230628",1,500,80000
"163","Edessa","Urfa","Turkey","37.15","38.8",1,500,90000
"164","Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,500,400000
"165","Jerusalem",NA,"Israel","31.76904","35.21633",1,500,50000
"166","Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,500,50000
"167","Luoyang","Honan","China","34.669722","112.442222",2,500,200000
"168","Nanjing","Nanking","China","32.05","118.766667",1,500,150000
"169","Nishapur",NA,"Iran","36.213333","58.795833",1,500,50000
"170","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,500,60000
"171","Rome",NA,"Italy","41.89474","12.4839",1,500,100000
"172","Taluqan","Taloqan, Takhar","Afghanistan","36.716667","69.516667",2,500,50000
"173","Teotihuacan",NA,"Mexico","19.69291001","-98.84606",1,500,125000
"174","Diyarbakir","Diarbekr","Turkey","37.914411","40.230628",1,502,80000
"175","Luoyang","Honan","China","34.669722","112.442222",2,528,240000
"176","Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,550,60000
"177","Hangzhou","Hangchow","China","30.25","120.166667",2,591,60000
"178","Chengdu",NA,"China","30.66667","104.06667",1,600,81000
"179","Rome",NA,"Italy","41.89474","12.4839",1,600,50000
"180","Medina","Madinah","Saudi Arabia","24.4609","39.620189",1,620,15000
"181","Dali","Tali","China","25.606486","100.267638",1,621,18000
"182","Aleppo",NA,"Syria","36.216667","37.166667",1,622,72000
"183","Alexandria",NA,"Egypt","31.200092","29.918739",1,622,94000
"184","Anuradhapura","Anuradha-Pura","Sri Lanka","8.31223","80.41306",1,622,70000
"185","Aror",NA,"Pakistan","27.65","68.9833",3,622,50000
"186","Badami","Vatapi","India","15.91495","75.67683",2,622,70000
"187","Carthage",NA,"Tunisia","36.8581","10.3308",3,622,50000
"188","Chengdu",NA,"China","30.66667","104.06667",1,622,81000
"189","Ctesiphon","Taq-I  Kisra","Iraq","33.09378746","44.58006701",1,622,500000
"190","Damascus",NA,"Syria","33.5102","36.29128",1,622,50000
"191","Dvin",NA,"Armenia","40.01984","44.58376",2,622,47000
"192","Edessa","Urfa","Turkey","37.15","38.8",1,622,50000
"193","El Tajin","Tajin, El Tajín","Mexico","20.4481","97.3782",2,622,40000
"194","Hangzhou","Hangchow","China","30.25","120.166667",2,622,60000
"195","Isanapura","Chenla","Cambodia","11.55","104.916667",2,622,70000
"196","Istakhr","Estakhr, Stakhr","Iran","29.9797278","52.90898604",3,622,40000
"197","Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,622,400000
"198","Jerusalem",NA,"Israel","31.76904","35.21633",1,622,50000
"199","Kamarupa","Kamata, Pragjyotisha","India","26.183333","91.733333",3,622,40000
"200","Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,622,120000
"201","Kanchipuram","Conjeeveram, Kanchi, K?ñci-pura, Conjevaram","India","12.834173","79.70364",1,622,70000
"202","Kashi","Kashgar","China","39.4704","75.989756",1,622,50000
"203","Kayseri","Caesarea, Mazaca","Turkey","38.73222","35.48528",2,622,60000
"204","Kosambi","Kausambi","India","25.338984","81.392899",2,622,40000
"205","Liaotung","penninsula","China","40.5","121.5",3,622,40000
"206","Luoyang","Honan","China","34.669722","112.442222",2,622,200000
"207","Madurai",NA,"India","9.91735","78.11962",1,622,70000
"208","Nanjing","Nanking","China","32.05","118.766667",1,622,50000
"209","Pundravardhana",NA,"India","25.5","81.5",2,622,40000
"210","Pyay","Sri Ksetra, Prome","Myanmar","18.82151","95.221029",3,622,100000
"211","Pyongyang","P'yongyang, Tonggoo","Dem. People's Republic of Korea","39.03385","125.75432",1,622,60000
"212","Rome",NA,"Italy","41.89474","12.4839",1,622,50000
"213","Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,622,45000
"214","Seville",NA,"Spain","37.388097","-5.982331",1,622,40000
"215","Srinagar",NA,"India","34.08842","74.80298",1,622,45000
"216","Teotihuacan",NA,"Mexico","19.69291001","-98.84606",1,622,60000
"217","Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,622,40000
"218","Vallabhi","Vallabhipur","India","21.8878","71.8795",2,622,40000
"219","Varanasi ","Benares","India","25.317645","82.973914",2,622,65000
"220","Vijayawada","Bezwada","India","16.506174","80.648015",3,622,50000
"221","Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,622,400000
"222","Mecca",NA,"Saudi Arabia","21.42667","39.82611",1,627,24000
"223","Aksu","Aqsu","China","41.12306","80.26444",1,630,1500
"224","Broach",NA,"India","21.724644","73.002294",3,630,20000
"225","Jerusalem",NA,"Israel","31.76904","35.21633",1,630,62000
"226","Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,630,100000
"227","Kashi","Kashgar","China","39.4704","75.989756",1,630,50000
"228","Kathmandu","Katmandu","Nepal","27.7","85.333333",1,630,22000
"229","Mathura","Muttra","India","27.4925","77.673611",3,630,15000
"230","Srinagar",NA,"India","34.08842","74.80298",1,630,45000
"231","Tamralipti","Tamralipta","India","22.3","87.92",2,630,30000
"232","Varanasi ","Benares","India","25.317645","82.973914",2,630,65000
"233","Aleppo",NA,"Syria","36.216667","37.166667",1,637,72000
"234","Faizabad","Ayodhya, Ajodhya, Fyzabad","India","26.779386","82.142169",2,640,25000
"235","Kanchipuram","Conjeeveram, Kanchi, K?ñci-pura, Conjevaram","India","12.834173","79.70364",1,640,70000
"236","Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia"," 35.674444","10.101667",2,670,10000
"237","Basra","Basrah","Iraq","30.5","47.816667",2,671,200000
"238","Kufa",NA,"Iraq","32.033333","44.4",2,671,200000
"239","Mecca",NA,"Saudi Arabia","21.42667","39.82611",1,692,60000
"240","Kufa",NA,"Iraq","32.033333","44.4",2,696,200000
"241","Lisbon",NA,"Portugal","38.71667","-9.13333",1,700,15000
"242","Rome",NA,"Italy","41.89474","12.4839",1,700,50000
"243","Tours",NA,"France","47.38333","0.68333",1,700,17000
"244","Damascus",NA,"Syria","33.5102","36.29128",1,705,300000
"245","Nara City",NA,"Japan","34.685333","135.832742",1,709,200000
"246","Damascus",NA,"Syria","33.5102","36.29128",1,715,300000
"247","Kufa",NA,"Iraq","32.033333","44.4",2,715,100000
"248","Basra","Basrah","Iraq","30.5","47.816667",2,717,100000
"249","Alexandria",NA,"Egypt","31.200092","29.918739",1,730,90000
"250","Kufa",NA,"Iraq","32.033333","44.4",2,740,90000
"251","Kaifeng","Bienliang, Pienliang","China","34.7986","114.30742",1,742,50000
"252","Tsinkiang","Zayton, Chinchiang, Chuanchow","China","24.913889","118.58583",3,742,26000
"253","Lanzhou","Lanchow","China","36.061089","103.834304",1,750,14226
"254","Patan","Anhilvada","India","23.8507","72.12963",1,750,40000
"255","Trier","Treves","Germany","49.75565","6.63935",1,750,10000
"256","Wuhan","Wuchang","China","30.58333","114.26667",1,750,84563
"257","Mosul","Ak Mawsil","Iraq","36.335","43.11889",1,752,40000
"258","Kufa",NA,"Iraq","32.033333","44.4",2,754,110000
"259","Balasaghun","Balasaqun, Gobalik","Kyrgyzstan","42.379739","75.250456",2,757,24000
"260","Sidjilmasa","Sijilmessa","Morocco","31.28","-4.28",2,757,24000
"261","Baghdad","Bagdad","Iraq","33.34058","44.40088",1,763,480000
"262","Lhasa",NA,"China","29.645563","91.140749",1,765,100000
"263","Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,782,45000
"264","Nara City",NA,"Japan","34.685333","135.832742",1,784,200000
"265","Alexandria",NA,"Egypt","31.200092","29.918739",1,800,95000
"266","Anbar","Al Anbar Governorate","Iraq","32.559761","41.919647",3,800,60000
"267","Astrakhan","Atil, Itil","Russian Federation","46.366681","48.083239",1,800,30000
"268","Augsberg","Ausburg","Germany","48.371444","10.898239",1,800,6000
"269","Baghdad","Bagdad","Iraq","33.34058","44.40088",1,800,700000
"270","Basra","Basrah","Iraq","30.5","47.816667",2,800,100000
"271","Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,800,45000
"272","Cairo","Fostat, Fustat","Egypt","30.06263","31.24967",1,800,100000
"273","Chengdu",NA,"China","30.66667","104.06667",1,800,75000
"274","Cologne","Koln, Coln","Germany","50.937531","6.960278",1,800,15000
"275","Cordoba","Cordova, Córdoba","Spain","38.046133","-4.893564",2,800,160000
"276","Dali","Tali","China","25.606486","100.267638",1,800,75000
"277","Dienne","Guinea, Jenne","Senegal","15.033366","-16.350122",3,800,10000
"278","El Tajin","Tajin, El Tajín","Mexico","20.4481","97.3782",2,800,40000
"279","Ellora",NA,"India","20.026319","75.177641",3,800,45000
"280","Esfahan","Isfahan","Iran","32.651389","51.679192",1,800,25000
"281","Gao","Kagho, Kukia, Gogo","Mali","16.27167","-0.04472",2,800,72000
"282","Hangzhou","Hangchow","China","30.25","120.166667",2,800,70000
"283","Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,800,250000
"284","Kaifeng","Bienliang, Pienliang","China","34.7986","114.30742",1,800,55000
"285","Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia"," 35.674444","10.101667",2,800,80000
"286","Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,800,80000
"287","Kherson","Cherson","Ukraine","46.635417","32.616867",1,800,20000
"288","Kush","Kus","Egypt","18.53","31.84",3,800,40000
"289","Kyoto",NA,"Japan","35.02107","135.75385",1,800,200000
"290","Lhasa",NA,"China","29.645563","91.140749",1,800,100000
"291","Lisbon",NA,"Portugal","38.71667","-9.13333",1,800,15000
"292","Luoyang","Honan","China","34.669722","112.442222",2,800,300000
"293","Lyon",NA,"France","45.74846","4.84671",1,800,12000
"294","Madurai",NA,"India","9.91735","78.11962",1,800,70000
"295","Mansura","Brahmanabad","Pakistan","25.590258","68.776944",3,800,60000
"296","Mecca",NA,"Saudi Arabia","21.42667","39.82611",1,800,80000
"297","Merida","Emerita","Spain","38.91611","-6.34366",1,800,30000
"298","Messina",NA,"Italy","38.19327","15.54969",1,800,25000
"299","Metz",NA,"France","49.11911","6.17269",1,800,25000
"300","Milan",NA,"Italy","45.465453","9.198786",1,800,25000
"301","Monte Alban","Monte Albán","Mexico","17.043989","-96.767467",2,800,30000
"302","Naples",NA,"Italy","40.851775","14.268122",1,800,30000
"303","Pachacamac",NA,"Peru","-12.188786","-76.849033",2,800,2000
"304","Paris",NA,"France","48.856614","2.352222",1,800,25000
"305","Patan","Anhilvada","India","23.8507","72.12963",1,800,40000
"306","Pavia",NA,"Italy","45.18446","9.16145",1,800,22000
"307","Pliska","Aboba","Bulgaria","43.362531","27.125539",1,800,34000
"308","Poitiers",NA,"France","46.58333","0.33333",1,800,10000
"309","Prambanan","temple in Indonesia","Indonesia","-7.752022","110.491369",2,800,60000
"310","Rayy","Rey, Ray","Iran","35.5833","51.4333",2,800,100000
"311","Reims","Rheims","France","49.25","4.03333",1,800,20000
"312","Rome",NA,"Italy","41.89474","12.4839",1,800,50000
"313","Samarkand","Sumarqand","Uzbekistan","39.6576","66.947561",1,800,75000
"314","Seville",NA,"Spain","37.388097","-5.982331",1,800,35000
"315","Sidjilmasa","Sijilmessa","Morocco","31.28","-4.28",2,800,24000
"316","Suzhou","Soochow","China","31.3","120.6",1,800,84000
"317","Taiyuan",NA,"China","37.87059","112.548879",1,800,25000
"318","Thessaloniki","Salonica, Thessalonica","Greece","40.63935","22.944606",1,800,40000
"319","Tiahuanaco","Tiwanaku","Bolivia","-16.55228","-68.67953",1,800,20000
"320","Tikal","Tical","Guatemala","17.222094","-89.623614",2,800,40000
"321","Toledo",NA,"Spain","39.862831","-4.027322",1,800,25000
"322","Tours",NA,"France","47.38333","0.68333",1,800,20000
"323","Trier","Treves","Germany","49.75565","6.63935",1,800,15000
"324","Tsinkiang","Zayton, Chinchiang, Chuanchow","China","24.913889","118.58583",3,800,30000
"325","Verona",NA,"Italy","45.43419","10.99779",1,800,30000
"326","Vijayawada","Bezwada","India","16.506174","80.648015",3,800,40000
"327","Wuhan","Wuchang","China","30.58333","114.26667",1,800,84000
"328","Xian","Sian, Changan, Xi'an","China","34.341485","108.940404",1,800,600000
"329","Yangzhou","Yangchow","China","32.4"," 119.416667",2,800,70000
"330","Cologne","Koln, Coln","Germany","50.937531","6.960278",1,804,15000
"331","Fez","Fes","Morocco","34.033333","-5.01",1,808,15000
"332","Edirne","Adrianople","Turkey","41.681808","26.562269",1,812,10000
"333","Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia"," 35.674444","10.101667",2,812,78000
"334","Balasaghun","Balasaqun, Gobalik","Kyrgyzstan","42.379739","75.250456",2,821,18000
"335","Iraklion","Irakleion, Candia. Heraklion","Greece","35.338736","25.144214",1,827,15000
"336","Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,830,45000
"337","Baghdad","Bagdad","Iraq","33.34058","44.40088",1,833,900000
"338","Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,850,80000
"339","Tarsus",NA,"Turkey","36.91876","34.8784",1,850,48000
"340","Alexandria",NA,"Egypt","31.200092","29.918739",1,860,100000
"341","Dali","Tali","China","25.606486","100.267638",1,860,100000
"342","Cologne","Koln, Coln","Germany","50.937531","6.960278",1,874,21000
"343","Manyakheta","Malkhed","India","17.19313","77.157379",3,875,75000
"344","Alexandria",NA,"Egypt","31.200092","29.918739",1,881,160000
"345","Chengdu",NA,"China","30.66667","104.06667",1,881,75000
"346","Burgos",NA,"Spain","42.35","-3.7",1,884,9000
"347","Cairo","Fostat, Fustat","Egypt","30.06263","31.24967",1,884,150000
"348","Chengdu",NA,"China","30.66667","104.06667",1,886,75000
"349","Angkor",NA,"Cambodia","13.412417","103.86705",1,889,90000
"350","Samarra","Samarra'","Iraq","34.198333","43.874167",2,889,280000
"351","Seville",NA,"Spain","37.388097","-5.982331",1,889,35000
"352","Alexandria",NA,"Egypt","31.200092","29.918739",1,900,175000
"353","Angkor",NA,"Cambodia","13.412417","103.86705",1,900,90000
"354","Baghdad","Bagdad","Iraq","33.34058","44.40088",1,900,900000
"355","Beijing","Peking","China","39.9075","116.39723",1,900,40000
"356","Bobastro","Malaga Province","Spain","36.716667","-4.416667",2,900,36000
"357","Bukhara","Bokhara","Uzbekistan","39.765869","64.422347",1,900,100000
"358","Changzhou","Changchow, Jiangsu province","China","31.77358","119.95401",1,900,75000
"359","Chengdu",NA,"China","30.66667","104.06667",1,900,75000
"360","Chinkiang","Zhenjiang","China","32.2","119.416667",2,900,25000
"361","Cordoba","Cordova, Córdoba","Spain","38.046133","-4.893564",2,900,20000
"362","Dali","Tali","China","25.606486","100.267638",1,900,90000
"363","El Tajin","Tajin, El Tajín","Mexico","20.4481","97.3782",2,900,50000
"364","Ellora",NA,"India","20.026319","75.177641",3,900,45000
"365","Herat",NA,"Afghanistan","34.34817","62.19967",1,900,32000
"366","Istanbul","Constantinople, Byzantium","Turkey","41.005275","28.976944",1,900,300000
"367","Kairouan","Qairwan, Qairawan, Zirids, Kairwan","Tunisia"," 35.674444","10.101667",2,900,100000
"368","Kanauji","Kannauj, Kanauj","India","27.05519","79.91808",3,900,80000
"369","Kush","Kus","Egypt","18.53","31.84",3,900,40000
"370","Madurai",NA,"India","9.91735","78.11962",1,900,50000
"371","Mansura","Brahmanabad","Pakistan","25.590258","68.776944",3,900,65000
"372","Manyakheta","Malkhed","India","17.19313","77.157379",3,900,100000
"373","Merida","Tiho","Mexico","20.979719","-89.615789",1,900,40000
"374","Merida","Emerita","Spain","38.91611","-6.34366",1,900,40000
"375","Metz",NA,"France","49.11911","6.17269",1,900,14000
"376","Nanning",NA,"China","22.81667","108.31667",1,900,40000
